pathway	pval	padj	log2err	ES	NES	size	leadingEdge	tissue
HALLMARK_TNFA_SIGNALING_VIA_NFKB	2.668229221505627e-5	0.0011740208574624758	0.5756102610711286	-0.5796964097428199	-2.547540774961989	21		blood
HALLMARK_COMPLEMENT	3.478681614923321e-4	0.015654067267154945	0.49849310876659025	0.7390982201222621	2.1130680668095714	9		brain
HALLMARK_APOPTOSIS	0.0011791934256701968	0.016549692558652903	0.45505986738722953	0.7344442125413834	1.9896412570419393	9		heart
HALLMARK_COMPLEMENT	0.00779871050721461	0.0435691035301185	0.40701791892395395	0.6684645268944697	1.810899424172829	9		heart
HALLMARK_ESTROGEN_RESPONSE_LATE	0.004190838101525357	0.030732812744519285	0.40701791892395395	0.7580311747393549	1.779770983014148	6		heart
HALLMARK_HYPOXIA	0.001504517505332082	0.016549692558652903	0.45505986738722953	0.5995134719297246	2.0051338124681686	17		heart
HALLMARK_INFLAMMATORY_RESPONSE	0.00961886481484773	0.0435691035301185	0.3807304007227924	0.6697907421155214	1.7642455620219026	8		heart
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.004042778585797066	0.030732812744519285	0.40701791892395395	0.5365578522768759	1.8844195114886657	20		heart
HALLMARK_KRAS_SIGNALING_UP	0.008161891076509315	0.0435691035301185	0.3807304007227924	0.7317073170731707	1.7179655591786727	6		heart
HALLMARK_MYC_TARGETS_V1	0.00140299963411905	0.016549692558652903	0.45505986738722953	-0.4656036628927753	-2.106084742582413	26		heart
HALLMARK_MYC_TARGETS_V2	0.009902068984117841	0.0435691035301185	0.3807304007227924	0.8379884367306746	1.5607903532686767	3		heart
HALLMARK_TNFA_SIGNALING_VIA_NFKB	3.410661384748118e-6	1.500691009289172e-4	0.6272567397185284	0.737150377341652	2.417881960209916	16		heart
HALLMARK_APOPTOSIS	0.0010772063316817698	0.011579968065579024	0.45505986738722953	0.7729257641921398	1.9106199377475297	8		kidney
HALLMARK_HYPOXIA	5.096442132231661e-4	0.008915636155756083	0.47727081536286214	0.7327211651403115	2.0837489033218586	12		kidney
HALLMARK_TNFA_SIGNALING_VIA_NFKB	4.244278878551013e-6	1.8250399177769354e-4	0.610526878385931	0.7801445303208756	2.3795748126924616	15		kidney
HALLMARK_UV_RESPONSE_UP	6.220211271457731e-4	0.008915636155756083	0.47727081536286214	0.7924142533519543	1.9587941579253707	8		kidney
HALLMARK_TNFA_SIGNALING_VIA_NFKB	8.746219482137316e-4	0.040232609617831656	0.47727081536286214	-0.5576529802431864	-2.226810376592579	14		liver
HALLMARK_APOPTOSIS	3.3527223373736113e-4	0.008254473578366641	0.49849310876659025	0.7900597530234759	2.056898781061268	9		prostate gland
HALLMARK_MYC_TARGETS_V2	0.0017122072921936006	0.024541637854774943	0.45505986738722953	0.9812734082397003	1.570538078649936	2		prostate gland
HALLMARK_TNFA_SIGNALING_VIA_NFKB	3.8392900364496e-4	0.008254473578366641	0.49849310876659025	0.6697930401924634	2.0404259226280743	16		prostate gland
HALLMARK_HYPOXIA	0.0016444345268141652	0.0328886905362833	0.45505986738722953	-0.6489062619465515	-2.0411408414033527	10		spleen
HALLMARK_TNFA_SIGNALING_VIA_NFKB	4.194778744034087e-5	0.0016779114976136348	0.557332238758646	-0.7344238850890585	-2.4074781932003275	11		spleen
HALLMARK_KRAS_SIGNALING_DN	0.003142104126215918	0.0460841938511668	0.4317076958033464	0.9546742209631728	1.5532795315771204	2		thymus
HALLMARK_TNFA_SIGNALING_VIA_NFKB	4.477741230724451e-4	0.009851030707593793	0.49849310876659025	0.5844260312155167	2.0053488367997545	21		thymus
HALLMARK_UV_RESPONSE_UP	1.6882504779191566e-4	0.007428302102844289	0.5188480777437918	0.7687683167199418	2.0632301727088516	9		thymus
