pathway	pval	padj	log2err	ES	NES	size	leadingEdge	tissue
HALLMARK_TNFA_SIGNALING_VIA_NFKB	1.292448886310488e-7	5.816019988397196e-6	0.6901324587967956	-0.7521323218364083	-3.0157122427128362	16		blood
HALLMARK_MITOTIC_SPINDLE	3.747151471003002e-6	1.761161191371411e-4	0.6272567397185284	0.7400774914406436	2.6675039094475843	14		brain
HALLMARK_MITOTIC_SPINDLE	0.0011314671419346016	0.02828667854836504	0.45505986738722953	0.5677563901360334	2.2501271617165033	14		esophagus
HALLMARK_UV_RESPONSE_DN	6.09787025603656e-4	0.02828667854836504	0.47727081536286214	0.6942912555453401	2.212793600458391	9		esophagus
HALLMARK_APOPTOSIS	1.1871519829730321e-4	0.0016443530022818933	0.5384340963099162	0.6144546164860831	2.22080394444329	23		heart
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.007162527673293341	0.04387048199892172	0.40701791892395395	0.622483443587612	1.7721749094952706	11		heart
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	6.594417852371445e-4	0.005385441246103346	0.47727081536286214	0.6860888633521229	1.9954310723108881	12		heart
HALLMARK_HYPOXIA	1.1823563822973936e-4	0.0016443530022818933	0.5384340963099162	0.5796108011691679	2.209702924935366	27		heart
HALLMARK_IL2_STAT5_SIGNALING	0.0019268688694186766	0.013488082085930737	0.45505986738722953	0.6341174815038951	1.9608664508753044	14		heart
HALLMARK_INFLAMMATORY_RESPONSE	5.010442496032496e-4	0.004910233646111846	0.47727081536286214	0.671834482465262	2.077497838543997	14		heart
HALLMARK_TNFA_SIGNALING_VIA_NFKB	1.346779681801595e-8	6.599220440827815e-7	0.7477396631498854	0.6557940240717157	2.6867154876076738	38		heart
HALLMARK_UV_RESPONSE_UP	1.3423289814546067e-4	0.0016443530022818933	0.5188480777437918	0.6872049778761089	2.1534671995756614	15		heart
HALLMARK_MYC_TARGETS_V1	9.913100149800851e-6	4.361764065912375e-4	0.5933254763964051	0.5910814048986601	2.581744791508559	22		immune system
HALLMARK_MITOTIC_SPINDLE	6.723584514211684e-4	0.011205974190352809	0.47727081536286214	0.4739915072111803	2.051746618514656	28		lung
HALLMARK_MYC_TARGETS_V1	2.236376301960999e-9	1.1181881509804995e-7	0.7749390301364363	-0.6213808225861555	-2.8787937164906925	38		lung
HALLMARK_OXIDATIVE_PHOSPHORYLATION	1.6237977238966698e-6	4.059494309741675e-5	0.6435518361507222	-0.5615636550099735	-2.5693665438043207	35		lung
HALLMARK_UV_RESPONSE_DN	0.0013158619913258582	0.016448274891573227	0.45505986738722953	0.5103403959228161	2.027996520226277	21		lung
HALLMARK_MITOTIC_SPINDLE	3.576412957210434e-4	0.008583391097305042	0.49849310876659025	0.6930185296113067	2.2295711854876226	11		prostate gland
HALLMARK_TNFA_SIGNALING_VIA_NFKB	1.1740631267991735e-4	0.005635503008636033	0.5384340963099162	0.5415085639534291	2.211983144154157	27		prostate gland
HALLMARK_UV_RESPONSE_DN	6.406610742117956e-4	0.01025057718738873	0.47727081536286214	0.811009153411819	2.0378720883333323	6		prostate gland
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.4300545391708764e-4	0.00348307817281159	0.5188480777437918	-0.7642857142857142	-2.1685578185802927	8		spleen
HALLMARK_HYPOXIA	1.8316981032220035e-5	3.9381509219273077e-4	0.5756102610711286	-0.7501822021761494	-2.4814139671685473	12		spleen
HALLMARK_INFLAMMATORY_RESPONSE	0.0037301575071463926	0.032079354561458974	0.4317076958033464	-0.6544871797405246	-1.9390811517302033	9		spleen
HALLMARK_TNFA_SIGNALING_VIA_NFKB	3.914901868495597e-11	1.6834078034531066e-9	0.851339057116899	-0.8252788104089219	-3.22242817393416	19		spleen
HALLMARK_UV_RESPONSE_UP	0.0013083568570218162	0.014064836212984525	0.45505986738722953	-0.783181213120166	-2.0336499737040907	6		spleen
HALLMARK_TNFA_SIGNALING_VIA_NFKB	3.945235616907828e-4	0.018937130961157574	0.49849310876659025	0.5264858987392622	1.9792567691174443	43		thymus
