pathway	pval	padj	log2err	ES	NES	size	leadingEdge	tissue
HALLMARK_ANGIOGENESIS	2.2246810696653917e-4	0.0022718256617739875	0.5188480777437918	0.9189765458422174	1.782049665115769	4		blood
HALLMARK_COAGULATION	8.921083544355295e-6	1.4868472573925493e-4	0.5933254763964051	0.702790674508192	2.229762433243855	20		blood
HALLMARK_COMPLEMENT	1.5263110328929477e-6	5.815257444696873e-5	0.6435518361507222	0.6141719773877947	2.304229296170564	42		blood
HALLMARK_E2F_TARGETS	0.0032636665693129476	0.027197221410941233	0.4317076958033464	-0.6446357638046255	-1.949791534513435	11		blood
HALLMARK_KRAS_SIGNALING_DN	2.2718256617739875e-4	0.0022718256617739875	0.5188480777437918	-0.9904255319148936	-1.586153413758968	2		blood
HALLMARK_MYC_TARGETS_V1	2.326102977878749e-6	5.815257444696873e-5	0.6272567397185284	-0.5795014900354997	-2.450066636624725	35		blood
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.003945770366524732	0.04734924439829678	0.40701791892395395	-0.7906661027960348	-1.8706210056991146	7		immune system
HALLMARK_KRAS_SIGNALING_DN	4.769304393105094e-4	0.011446330543452225	0.49849310876659025	-0.9878971255673223	-1.5826903004112935	2		immune system
HALLMARK_MYC_TARGETS_V1	1.178197670395104e-4	0.0056553488178965	0.5384340963099162	0.4604169543338048	1.9899570559498119	65		immune system
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.0037577969937034723	0.04734924439829678	0.4317076958033464	-0.663012172768113	-1.8841943450236802	12		immune system
HALLMARK_HYPOXIA	9.840964736053386e-4	0.02312626712972546	0.45505986738722953	0.6278861537379179	1.9868520634104112	20		kidney
HALLMARK_TNFA_SIGNALING_VIA_NFKB	2.056229740036965e-6	9.664279778173736e-5	0.6272567397185284	0.7567452318194995	2.3290302328755765	19		kidney
HALLMARK_HEME_METABOLISM	0.0015966794238010922	0.03832030617122621	0.45505986738722953	-0.8053761524385108	-1.9026607075831377	6		spleen
HALLMARK_KRAS_SIGNALING_DN	3.782562701703947e-4	0.018156300968178943	0.49849310876659025	-0.9862174578866769	-1.6092506173950099	2		spleen
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.0029458862009563384	0.04537078438185928	0.4317076958033464	0.7678540477142366	1.7922857101207483	7		thymus
HALLMARK_KRAS_SIGNALING_DN	4.425587057961482e-4	0.011220191557814936	0.49849310876659025	0.9869565217391304	1.5490077861404423	2		thymus
HALLMARK_MYC_TARGETS_V1	4.579670023597933e-4	0.011220191557814936	0.49849310876659025	-0.4186620633287367	-1.7857775711425599	64		thymus
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.003703737500559941	0.04537078438185928	0.4317076958033464	0.9565217391304348	1.5012410262154068	2		thymus
